sec,miliampere
0.1499000,22.2947
0.1500000,22.9147
0.1501000,22.4799
0.1502000,22.8759
0.1503000,23.0696
0.1504000,23.2333
0.1505000,22.9147
0.1506000,22.4539
0.1507000,23.9868
0.1508000,22.6693
0.1509000,22.2473
0.1510000,23.0912
0.1511000,23.2118
0.1512000,22.9147
0.1513000,22.4281
0.1514000,23.2979
0.1515000,23.3925
0.1516000,22.2473
0.1517000,22.4453
0.1518000,23.3064
0.1519000,22.9965
0.1520000,22.3592
0.1521000,23.5259
0.1522000,23.7500
0.1523000,23.5305
0.1524000,22.6864
0.1525000,23.1688
0.1526000,22.9147
0.1527000,22.3807
0.1528000,22.9147
0.1529000,22.3938
0.1530000,22.2946
0.1531000,22.9147
0.1532000,23.3494
0.1533000,22.3250
0.1534000,22.5572
0.1535000,23.2334
0.1536000,23.4571
0.1537000,22.9147
0.1538000,22.9147
0.1539000,22.9147
0.1540000,22.9147
0.1541000,22.7382
0.1542000,22.6175
0.1543000,22.9147
0.1544000,23.4917
0.1545000,22.9147
0.1546000,23.3925
0.1547000,22.9147
0.1548000,23.1126
0.1549000,23.1903
0.1550000,23.5001
0.1551000,23.4702
0.1552000,23.2202
0.1553000,23.0827
0.1554000,22.2988
0.1555000,23.5820
0.1556000,23.1688
0.1557000,22.9147
0.1558000,22.9147
0.1559000,22.9147
0.1560000,23.4355
0.1561000,22.3418
0.1562000,23.5820
0.1563000,22.7126
0.1564000,22.8758
0.1565000,22.9147
0.1566000,22.9147
0.1567000,22.9147
0.1568000,22.2473
0.1569000,22.7723
0.1570000,22.6696
0.1571000,22.8973
0.1572000,23.4056
0.1573000,22.9147
0.1574000,22.9147
0.1575000,23.6723
0.1576000,23.6813
0.1577000,22.9147
0.1578000,22.9105
0.1579000,22.4452
0.1580000,22.9147
0.1581000,22.3293
0.1582000,22.8029
0.1583000,22.2473
0.1584000,23.2458
0.1585000,22.9403
0.1586000,23.1432
0.1587000,23.0736
0.1588000,23.5820
0.1589000,22.5139
0.1590000,23.5820
0.1591000,23.0612
0.1592000,22.9147
0.1593000,22.9147
0.1594000,22.4800
0.1595000,22.8757
0.1596000,23.0695
0.1597000,22.8849
0.1598000,22.7896
0.1599000,22.9147
0.1600000,23.1771
0.1601000,22.6697
0.1602000,22.8972
0.1603000,23.0910
0.1604000,23.5820
0.1605000,23.5820
0.1606000,22.4277
0.1607000,23.2981
0.1608000,22.9147
0.1609000,22.9147
0.1610000,23.1125
0.1611000,22.7989
0.1612000,23.4180
0.1613000,23.0264
0.1614000,23.5820
0.1615000,23.0828
0.1616000,22.2985
0.1617000,23.3627
0.1618000,22.9147
0.1619000,24.1283
0.1620000,22.9147
0.1621000,22.9147
0.1622000,22.9147
0.1623000,23.5349
0.1624000,23.1555
0.1625000,23.1474
0.1626000,22.9147
0.1627000,22.9147
0.1628000,23.2632
0.1629000,23.5820
0.1630000,22.7774
0.1631000,22.1048
0.1632000,22.9147
0.1633000,22.2648
0.1634000,22.7384
0.1635000,22.2473
0.1636000,22.8111
0.1637000,22.9147
0.1638000,22.9147
0.1639000,22.4370
0.1640000,22.9147
0.1641000,22.9147
0.1642000,22.9147
0.1643000,22.9147
0.1644000,22.8030
0.1645000,23.1636
0.1646000,23.2511
0.1647000,22.9147
0.1648000,22.9147
0.1649000,22.9147
0.1650000,22.3079
0.1651000,22.2473
0.1652000,22.5743
0.1653000,22.9147
0.1654000,23.5820
0.1655000,23.5820
0.1656000,23.1475
0.1657000,23.5430
0.1658000,22.9147
0.1659000,22.9147
