second,Ampere
-203.99415E-03,+8.36732E-03
-203.96165E-03,+8.67538E-03
-203.92915E-03,+8.67538E-03
-203.89665E-03,+8.67538E-03
-203.86415E-03,+8.67538E-03
-203.83165E-03,+8.67538E-03
-203.79915E-03,+8.31610E-03
-203.76665E-03,+8.00804E-03
-203.73415E-03,+8.72660E-03
-203.70165E-03,+8.62416E-03
-203.66915E-03,+8.00804E-03
-203.63665E-03,+8.00804E-03
-203.60415E-03,+8.36732E-03
-203.57165E-03,+7.95682E-03
-203.53915E-03,+7.69998E-03
-203.50665E-03,+8.00804E-03
-203.47415E-03,+8.00804E-03
-203.44165E-03,+8.00804E-03
-203.40915E-03,+8.36732E-03
-203.37665E-03,+8.67538E-03
-203.34415E-03,+8.31610E-03
-203.31164E-03,+8.00804E-03
-203.27914E-03,+8.00804E-03
-203.24664E-03,+8.00804E-03
-203.21414E-03,+8.36732E-03
-203.18164E-03,+8.31610E-03
-203.14914E-03,+8.36732E-03
-203.11664E-03,+8.31610E-03
-203.08414E-03,+8.00804E-03
-203.05164E-03,+8.36732E-03
-203.01914E-03,+8.31610E-03
-202.98664E-03,+8.36732E-03
-202.95414E-03,+8.67538E-03
-202.92164E-03,+8.67538E-03
-202.88914E-03,+8.31610E-03
-202.85664E-03,+8.36732E-03
-202.82414E-03,+8.31610E-03
-202.79164E-03,+8.36732E-03
-202.75914E-03,+8.67538E-03
-202.72664E-03,+8.67538E-03
-202.69414E-03,+8.67538E-03
-202.66164E-03,+8.67538E-03
-202.62914E-03,+8.31610E-03
-202.59664E-03,+8.00804E-03
-202.56414E-03,+8.00804E-03
-202.53164E-03,+8.36732E-03
-202.49914E-03,+8.31610E-03
-202.46664E-03,+8.00804E-03
-202.43414E-03,+8.36732E-03
-202.40164E-03,+8.67538E-03
-202.36914E-03,+8.31610E-03
-202.33664E-03,+8.00804E-03
-202.30414E-03,+8.36732E-03
-202.27164E-03,+8.67538E-03
-202.23914E-03,+8.67538E-03
-202.20664E-03,+8.67538E-03
-202.17414E-03,+8.31610E-03
-202.14164E-03,+8.00804E-03
-202.10914E-03,+8.36732E-03
-202.07664E-03,+8.67538E-03
-202.04414E-03,+8.67538E-03
-202.01164E-03,+8.31610E-03
-201.97913E-03,+8.00804E-03
-201.94663E-03,+8.36732E-03
-201.91413E-03,+8.31610E-03
-201.88163E-03,+8.00804E-03
-201.84913E-03,+8.36732E-03
-201.81663E-03,+8.31610E-03
-201.78413E-03,+8.36732E-03
-201.75163E-03,+8.31610E-03
-201.71913E-03,+8.36732E-03
-201.68663E-03,+8.31610E-03
-201.65413E-03,+8.00804E-03
