second, ampere
-187.1000E-03,+12.9046
-187.0000E-03,+13.5625
-186.9000E-03,+13.1078
-186.8000E-03,+13.1751
-186.7000E-03,+13.4953
-186.6000E-03,+13.4549
-186.5000E-03,+13.2154
-186.4000E-03,+13.0674
-186.3000E-03,+12.9046
-186.2000E-03,+13.1293
-186.1000E-03,+13.1536
-186.0000E-03,+13.5168
-185.9000E-03,+13.5720
-185.8000E-03,+13.2397
-185.7000E-03,+13.4307
-185.6000E-03,+13.0095
-185.5000E-03,+13.7469
-185.4000E-03,+13.3445
-185.3000E-03,+13.5720
-185.2000E-03,+13.0647
-185.1000E-03,+13.2182
-185.0000E-03,+12.9046
-184.9000E-03,+13.4980
-184.8000E-03,+13.1723
-184.7000E-03,+13.1105
-184.6000E-03,+12.9046
-184.5000E-03,+13.5720
-184.4000E-03,+13.5720
-184.3000E-03,+13.0029
-184.2000E-03,+14.1438
-184.1000E-03,+13.5720
-184.0000E-03,+13.5720
-183.9000E-03,+13.5720
-183.8000E-03,+13.7751
-183.7000E-03,+13.4456
-183.6000E-03,+13.4952
-183.5000E-03,+13.5720
-183.4000E-03,+13.5720
-183.3000E-03,+13.5720
-183.2000E-03,+12.9355
-183.1000E-03,+13.3473
-183.0000E-03,+13.3230
-182.9000E-03,+12.9599
-182.8000E-03,+12.9046
-182.7000E-03,+12.5724
-182.6000E-03,+13.2892
-182.5000E-03,+12.8522
-182.4000E-03,+12.4834
-182.3000E-03,+12.9046
-182.2000E-03,+13.5382
-182.1000E-03,+13.5720
-182.0000E-03,+13.2182
-181.9000E-03,+12.3571
-181.8000E-03,+13.4981
-181.7000E-03,+12.9046
-181.6000E-03,+13.3660
-181.5000E-03,+13.5720
-181.4000E-03,+12.9046
-181.3000E-03,+13.2799
-181.2000E-03,+13.0029
-181.1000E-03,+13.0000
-181.0000E-03,+13.5720
-180.9000E-03,+13.5720
-180.8000E-03,+12.9046
-180.7000E-03,+13.1077
-180.6000E-03,+13.1752
-180.5000E-03,+13.4951
-180.4000E-03,+12.9046
-180.3000E-03,+12.9046
-180.2000E-03,+12.9046
-180.1000E-03,+14.2085
-180.0000E-03,+13.3474
-179.9000E-03,+12.9046
