second,Ampere
-506.0000E-03,+23.5820
-505.9000E-03,+23.5820
-505.8000E-03,+22.9578
-505.7000E-03,+23.2590
-505.6000E-03,+23.6143
-505.5000E-03,+24.0234
-505.4000E-03,+23.1623
-505.3000E-03,+23.5281
-505.2000E-03,+23.5820
-505.1000E-03,+23.2484
-505.0000E-03,+23.4420
-504.9000E-03,+22.9147
-504.8000E-03,+22.9147
-504.7000E-03,+22.9147
-504.6000E-03,+23.5497
-504.5000E-03,+22.4087
-504.4000E-03,+22.9147
-504.3000E-03,+23.4636
-504.2000E-03,+23.0652
-504.1000E-03,+23.4423
-504.0000E-03,+23.1729
-503.9000E-03,+22.9255
-503.8000E-03,+22.4302
-503.7000E-03,+23.2913
-503.6000E-03,+23.5820
-503.5000E-03,+22.8179
-503.4000E-03,+22.8284
-503.3000E-03,+23.0977
-503.2000E-03,+22.9147
-503.1000E-03,+23.1191
-503.0000E-03,+23.5820
-502.9000E-03,+23.5820
-502.8000E-03,+23.7003
-502.7000E-03,+23.6252
-502.6000E-03,+23.4205
-502.5000E-03,+22.9469
-502.4000E-03,+23.5820
-502.3000E-03,+23.5820
-502.2000E-03,+24.1954
-502.1000E-03,+23.4422
-502.0000E-03,+22.9147
-501.9000E-03,+22.9147
-501.8000E-03,+22.9684
-501.7000E-03,+23.3346
-501.6000E-03,+22.9147
-501.5000E-03,+23.5496
-501.4000E-03,+23.5820
-501.3000E-03,+23.5820
-501.2000E-03,+23.5820
-501.1000E-03,+22.9899
-501.0000E-03,+23.3130
-500.9000E-03,+23.8401
-500.8000E-03,+22.9364
-500.7000E-03,+22.9147
-500.6000E-03,+23.2913
-500.5000E-03,+23.5820
-500.4000E-03,+22.9147
-500.3000E-03,+22.9147
-500.2000E-03,+22.9147
-500.1000E-03,+23.5820
-500.0000E-03,+23.3776
-499.9000E-03,+22.9147
-499.8000E-03,+24.0984
-499.7000E-03,+23.4638
-499.6000E-03,+22.9147
-499.5000E-03,+22.9147
-499.4000E-03,+22.3438
-499.3000E-03,+23.7976
-499.2000E-03,+22.9147
-499.1000E-03,+23.5280
-499.0000E-03,+23.1942
-498.9000E-03,+23.5823
-498.8000E-03,+22.9147
-498.7000E-03,+23.5820
-498.6000E-03,+23.0872
-498.5000E-03,+23.1296
-498.4000E-03,+23.5820
-498.3000E-03,+23.4207
-498.2000E-03,+22.9147
-498.1000E-03,+22.3659
-498.0000E-03,+23.0650
-497.9000E-03,+23.7115
-497.8000E-03,+22.9147
-497.7000E-03,+23.5711
-497.6000E-03,+22.9147
-497.5000E-03,+23.2912
