second,ampere
-1.0083000E+00,+23.2840E-03
-1.0082000E+00,+23.5820E-03
-1.0081000E+00,+22.9147E-03
-1.0080000E+00,+22.9147E-03
-1.0079000E+00,+22.9147E-03
-1.0078000E+00,+22.2541E-03
-1.0077000E+00,+23.7791E-03
-1.0076000E+00,+23.8585E-03
-1.0075000E+00,+23.5820E-03
-1.0074000E+00,+22.9147E-03
-1.0073000E+00,+23.2194E-03
-1.0072000E+00,+22.5851E-03
-1.0071000E+00,+23.5323E-03
-1.0070000E+00,+22.6846E-03
-1.0069000E+00,+23.9944E-03
-1.0068000E+00,+23.0371E-03
-1.0067000E+00,+22.7822E-03
-1.0066000E+00,+22.8998E-03
-1.0065000E+00,+23.5820E-03
-1.0064000E+00,+22.8683E-03
-1.0063000E+00,+22.9677E-03
-1.0062000E+00,+23.3816E-03
-1.0061000E+00,+22.9147E-03
-1.0060000E+00,+23.0687E-03
-1.0059000E+00,+22.8865E-03
-1.0058000E+00,+22.7888E-03
-1.0057000E+00,+23.5141E-03
-1.0056000E+00,+22.6530E-03
-1.0055000E+00,+22.7027E-03
-1.0054000E+00,+23.5638E-03
-1.0053000E+00,+23.5820E-03
-1.0052000E+00,+23.5820E-03
-1.0051000E+00,+23.0190E-03
-1.0050000E+00,+22.9147E-03
-1.0049000E+00,+22.9147E-03
-1.0048000E+00,+22.9147E-03
-1.0047000E+00,+23.5787E-03
-1.0046000E+00,+22.9147E-03
-1.0045000E+00,+22.9147E-03
-1.0044000E+00,+22.9147E-03
-1.0043000E+00,+22.9147E-03
-1.0042000E+00,+22.9147E-03
-1.0041000E+00,+23.9115E-03
-1.0040000E+00,+22.8898E-03
-1.0039000E+00,+22.6845E-03
-1.0038000E+00,+23.1697E-03
-1.0037000E+00,+23.5207E-03
-1.0036000E+00,+23.4496E-03
-1.0035000E+00,+23.5671E-03
-1.0034000E+00,+23.7294E-03
-1.0033000E+00,+22.8683E-03
-1.0032000E+00,+22.2473E-03
-1.0031000E+00,+22.6812E-03
-1.0030000E+00,+23.5422E-03
-1.0029000E+00,+23.5820E-03
-1.0028000E+00,+23.2343E-03
-1.0027000E+00,+22.3732E-03
-1.0026000E+00,+23.5142E-03
-1.0025000E+00,+23.1763E-03
-1.0024000E+00,+23.5820E-03
-1.0023000E+00,+22.9329E-03
-1.0022000E+00,+23.8984E-03
-1.0021000E+00,+22.9147E-03
