Total; 103342769; 138982785;
lbu; 1731719; 19048939;
c.add; 16113351; 16945010;
lw; 13978926; 15337706;
c.lw; 2611561; 7615265;
p.lw; 6352884; 7429186;
p.cnt; 5812960; 6280010;
xor; 5387102; 6109622;
mul; 4234909; 4236009;
sub; 3099870; 3553109;
add; 3181510; 3199120;
mulh; 2075200; 2988170;
slli; 2986934; 2988094;
addi; 2750103; 2925703;
c.slli; 2432540; 2717190;
sltu; 2678920; 2696850;
c.srli; 2673964; 2674514;
p.beqimm; 831832; 2378089;
c.or; 2110411; 2238806;
c.srai; 2214400; 2214520;
lui; 1999241; 2115031;
srai; 1847848; 1847868;
c.mv; 1815512; 1820382;
c.lwsp; 1565789; 1661955;
c.addi; 1575430; 1618950;
beq; 732849; 1491019;
p.mac; 1203032; 1272889;
bge; 427649; 1192281;
p.bneimm; 858080; 1081920;
c.j; 463040; 1032950;
bltu; 329513; 968568;
csrrs; 267687; 841537;
or; 800573; 819373;
c.jr; 296585; 635420;
jal; 290655; 621290;
mulhu; 619520; 619570;
c.sub; 594954; 595094;
blt; 331602; 534602;
p.minu; 460800; 460800;
p.max; 460800; 460800;
andi; 336256; 440666;
c.xor; 431604; 431714;
bgeu; 341769; 417555;
srli; 406340; 408410;
lp.setup; 403471; 403571;
sw; 145296; 298862;
bne; 130677; 290054;
c.li; 280044; 280264;
c.swsp; 194334; 207779;
c.sw; 128238; 137833;
c.and; 99645; 99925;
p.sw; 48801; 49890;
xori; 42516; 42616;
and; 40067; 40757;
c.beqz; 17436; 29142;
c.nop; 18560; 18560;
c.addi16sp; 17311; 18451;
c.bnez; 5774; 17400;
srl; 17036; 17146;
sll; 16781; 16891;
c.lui; 11455; 12025;
c.jal; 5708; 11456;
divu; 282; 10152;
remu; 282; 10152;
p.elw; 982; 1042;
p.bclri; 846; 946;
p.mulu; 600; 600;
c.jalr; 232; 464;
c.andi; 146; 176;
slt; 8; 58;
c.addi4spn; 10; 10;
ori; 4; 4;
auipc; 2; 2;
p.extractui; 1; 1;
